"id","name","account_number","company_name","address","telephone","mobile","email","owner_name","contact_name","iata_no","finance_no","is_active","created_at","updated_at","is_visible","payment_amount"
"48","MAHA WORLD TRAVEL",,,"tripoli - azmi street- near moutraniye","9616432606","9616432606","mahaworldtrvl@hotmail.com",,"M",,,"1","2012-10-08 15:44:51","2017-02-11 12:55:43","1","0.00"
"49","MARICIELO / 214468 / Mkallis",,,"Mekaless Main Road, 2001 Center","9611686395","9611686395","maricielo@idm.net.lb",,"PAULINE CHAIB","43210473",,"1","2012-10-08 15:48:08","2013-08-22 15:21:30","1","0.00"
"50","EID TRAVEL -89296-ANTELIAS",,,"ANTELIAS BYBLOS BANK BUILDING THIRD FLOOR ","9614402009","9614402009","info@eidtravel.com",,"SAYDEH SAAD ","43248962",,"1","2012-10-08 15:52:37","2014-01-28 10:39:27","1","0.00"
"51","BLUE WAY / 1364-601 / Achrafiyeh",,,"ASHRAFIE-TABARIS-GEBRAN TUEINI STRT-SNA BLD","9611201205","9611201205","INFO@BLUEWAY-LEBANON.COM",,"SAMARA KADISSI","43200544",,"1","2012-10-08 15:55:59","2017-08-10 12:54:03","1","0.00"
"52","NICE TRIP / 102785 / Tayouneh",,,"chiah - tayouneh ,?old said street , tanous ghanem BLDG ,?first floor ","9611399709","9611399709","nicetrip96@hotmail.com",,"NAJWA HUSSEIN","43210145",,"1","2012-10-08 16:12:05","2015-08-13 16:10:59","1","0.00"
"53","BRASILIA 1986054-60 / Badaro",,,"Beirut-Badaro-Benoit Barakat street-Dr. Sami Zebouni Bldg-Ground floor","9611380089   ","9611380089   ","nadine@brasiliatravel.net",,"Ibrahim Abou Halka","43200625",,"1","2012-10-08 16:25:54","2013-08-22 15:22:46","1","0.00"
"54","CROSSWAYS BEIRUT /2169448/ Fun el chebbak",,,"FURN EL CHEBBACK-CHAM STREET AUBAIDY BLDG 1ST FLOOR","9611284021","9611284021","JOYCE@CROSSWAYSAGENCY.COM",,"NICOLAS HADDAD? ","4320056",,"1","2012-10-08 16:31:05","2017-11-06 09:43:06","1","0.00"
"55","WORLD WIDE TRAVEL & TOURRISM",,,"Hamra, Clemenceau Street, Justinian Building, Ground Floor","9611366505","9611366505","rayane.agha@worldwidetravel-lb.com",,"rayane","43210661",,"1","2012-10-09 11:18:04","2018-10-29 13:17:49","1","0.00"
"56","TRAVELWISE-58652-601-JESER EL BACHA ",,,"jisr el bacha abi rached center? 2nd floor ","9611486090","9611486090","michel@travelwiselb.com",,"K","4321030",,"1","2012-10-09 11:31:07","2017-02-08 12:54:22","1","0.00"
"57","DARWICH TRAVEL",,,"Haret Hreik - Main Street Facing the Municipality","9611274333","9611274333","darwich_travel@hotmail.com",,"ELHAM JOMAA",,,"1","2012-10-09 11:35:32","2012-10-09 11:35:32","1","0.00"
"58","PEARL BLUE TRAVEL ",,,"Espace 2000 street, Nasr Bldg, Ground Floor Zouk ?Mikhael","9619221031","9619221031","Info@pearlbluetravel.com",,"JOSEPH KASSIS",,,"0","2012-10-09 11:51:04","2013-05-24 16:12:28","1","0.00"
"59","TRANSLEBANON /92428-601/Sodeco",,,"SODECO,NASRA STREET SAAB BLDG 1ST FLOOR","9611614735","9611614735","translebanon@translebanontours.com.lb",,"NANCY BARAKAT ","43200080",,"1","2012-10-09 12:00:53","2013-10-23 10:46:52","1","0.00"
"60","TARGET TRAVEL/4483-601/Beirut",,,"Hamra Sadat Home Bldg , Sadat Street ,facing congress bldg 3rd & 4th Floor ","9611743440","9611743440","info@targetravel.com",,"IMAM BARAKAT","43264513",,"1","2012-10-09 12:05:51","2017-06-10 14:59:22","1","0.00"
"61","LEBANON EXPRESS -2499-601-DORA.",,,"Dora Highway, Kettaneh\\\'s Building","9611263434","9611263434","lebanonexpress@wise.net.lb",,"GRACE","43227111",,"1","2012-10-09 12:08:39","2013-08-23 12:23:04","1","0.00"
"62","EAGLE TRAVEL-1213-601-AIN EL MREISSEH",,,"Ain el mreisseh Phoenicia str. Sfeir bldg. 3rd flr ","9611375325","9611375325","lilas_rst@hotmail.com",,"layal roustom","43208896",,"1","2012-10-09 12:11:35","2014-02-20 09:45:31","1","0.00"
"63","INTERNATIONAL TRAVEL AGENCY-10774-BEIRUT.",,,"ASSAF BLDG 1ST FL HAMRA ST (above Costa Caf","9611340110","9611340110","ita@terra.net.lb",,"ELIAS NOUN? ","43261654",,"0","2012-10-09 12:16:49","2013-08-23 14:25:36","1","0.00"
"64","TRAVELAND-8597-DEKWANEH.",,,"DEKWANEH facing charcutier aoun next pros caffe","9611685446 ","9611685446 ","traveland87@gmail.com",,"NANCY ?KHOURY","43201233",,"1","2012-10-09 12:19:30","2017-06-12 10:46:13","1","0.00"
"65","TELCO TRAVEL & TOURISM-87354-601-BEIRUT.",,,"Salim salam bridge , Suzan Chatila bldg, ground floor","9611815600","9611815600","info@telcotravel.com",,"YOUSRA AL GHOUL","43235161",,"1","2012-10-09 12:22:21","2013-08-23 14:19:18","1","0.00"
"66","GHORAYEB /181648 /Airport Road",,,"Airport Road , Ghorayeb Building , Ground Floor","9611450112","9611450112","helpdesk@ghorayebtravel.net",,"RIMA EL-SHEIKH ","43209972",,"1","2012-10-09 12:25:13","2013-08-22 16:11:29","1","0.00"
"67","DAN TRAVEL & TOURISM /193601/Bristol",,,"Mme curie street facing le Bristol hotel,Bristol galleria bldg.,floor 3 ","9611355300?","9611355300?","booking@dan.travel",,"AHMAD","99999992? TIDS",,"0","2012-10-09 12:27:54","2017-01-27 10:21:53","1","0.00"
"68","TIGER TRANSPORT & SERVICES-78878-601-ACHRAFIEH",,,"Amine gemayel Str. Sioufi Garden Square Ashrafieh Beirut Lebanon","9611398550","9611398550","tigertvl@dm.net.lb",,"CHRISTENE ESTEPHAN","43100205",,"1","2012-10-09 12:32:27","2017-04-03 10:25:49","1","0.00"
"69","LIT-OTUL-3611-601-ACHRAFIEH",,,"ACHRAFIEH","9611333222 ","9611333222 ","nabil@litotul.com",,"NADINE","4320006",,"1","2012-10-09 12:35:35","2014-07-30 12:14:29","1","0.00"
"70","ON BOARD TRAVEL-2202900-JOUNIEH",,,"JOUNIEH-MAAMELTEIN SEA ROAD","9619933490","9619933490","onboard.lb@hotmail.com",,"NAY MAYNE ",,,"1","2012-10-09 12:37:40","2018-01-24 12:27:54","1","0.00"
"71","SONOMAR /8977-601/ Syafe",,,"Saifi El Arz Street ","9611566734","9611566734","liliane@sonomartravel.com",,"SAMAR DIB","43234122",,"1","2012-10-09 12:42:56","2013-08-22 15:30:08","1","0.00"
"72","LIBAN LOISIRS SARL-319733-601-ACHRAFIEH",,,"Achrafieh-Fassouh, Francois Yazbeck building,5th floor","9611580180","9611580180","loisirs@libanloisirs.com.lb",,"P","43210226",,"1","2012-10-09 13:09:18","2013-08-23 14:20:55","1","0.00"
"73","HAJJAR TRAVEL/13292-601/Zahle",,,"ZAHLEH/BEKAA - BOULEVARD- BARBARA STREET","9618806947","9618806947","hajjartravel@hotmail.com",,"JOSEPHINE","43248295",,"1","2012-10-09 13:11:58","2015-12-17 09:23:23","1","0.00"
"74","NORTH STAR",,,"Maraad Tripoli","9616440427","9616440427","north.star.tvl@gmail.com",,"J",,,"1","2012-10-09 13:16:34","2012-10-09 13:16:34","1","0.00"
"75","ZAATARI /224322-601/Mar Elias",,,"MAKASSED CENTER - MAR ELIAS STR.","9611700306","9611700306","INFO@ZAATARI.TRAVEL",,"JAMIL ZAATARI ","4328552",,"1","2012-10-09 13:20:00","2016-12-24 11:24:25","1","0.00"
"76","THE VIP SERVICES",,,"Cornich al mazraa alhassan centre block b 5 floor","9611707084","9611707084","info@vipservices-lb.com",,"osman",,,"1","2012-10-09 13:22:20","2016-11-18 14:23:01","1","0.00"
"77","BOURGI TRAVEL-48527-SOUR.",,,"TYR STREET","9617346891","9617346891","bourgi_travel@hotmail.com",,"L","43210941",,"1","2012-10-09 13:25:48","2013-08-23 14:13:40","1","0.00"
"78","L.A.C CLUB TRAVEL AGENCY",,,"HAMRA-SADAT STR. ARAMOUNI BLDG. BEIRUT","9611740920","9611740920","lactravel@terra.net.lb",,"ALI ","43219256",,"1","2012-10-09 16:38:35","2012-10-09 16:38:35","1","0.00"
"79","BAADARANI TRAVEL",,,"LEON STREET - ROUBAEIYA BLDG ","9611341188","9611341188","baadarani.travel@gmail.com",,"ZEINA ABOU SHAKRA?","43200113",,"1","2012-10-10 10:59:24","2015-04-27 09:33:58","1","0.00"
"80","MASSOUD TRAVEL-2341438-601-ACHRAFIEH.",,,"ACHRAFIEH BEIRUT MADRASSET ELSALM STR GHANEM BLDG GROUND FLOOR","9611215533/44????????? ","9611215533/44????????? ","reservation@massoudtravel.com",,"CARLA MASSOUD","43227144",,"1","2012-10-10 11:02:43","2016-09-01 08:54:43","1","0.00"
"81","GUIDELINE TRAVEL-68611-601-JOUNIEH",,,"Jounieh ? New Avenue street,Facing Arman Church","9619931391","9619931391","info@guideline-travel.com",,"ROULA DACCACHE",,,"1","2012-10-10 11:05:27","2014-04-16 07:34:44","1","0.00"
"82","SUNRISE TRAVEL & TOURISM s.a.r.l-60034-BEIRUT.",,,"BEIRUT,CORNICHE AL-MAZRAA.NEAR ITANI PHARMACY ,ALTURK CENTER 4TH FLOOR?","9611652747 ","9611652747 ","sunriset@terra.net.lb",,"RIYAD HASSAN ","4321127",,"1","2012-10-10 11:07:57","2013-08-28 15:45:18","1","0.00"
"83","TRAVEL FOLLIES-2460017-BCHARY",,,"zalka mafra2 wooden bakery/3a ekhir l sheri3","9616671361 / 01899099","9616671361 / 01899099","t.tabbarah@travelfollies.com",,"MICHA TAWK",,,"1","2012-10-10 11:10:40","2017-09-09 11:19:37","1","0.00"
"84","MAROUN TRAVEL /48852/Tripoli",,,"Nini Bldg,Boulevard Street,Tripoli,North Lebanon","9616625268","9616625268","bassammaroun@hotmail.com",,"M","43200393",,"1","2012-10-10 11:12:50","2016-02-15 12:54:26","1","0.00"
"85","KM TOURS",,,,"9611866041","9611866041","h.kmtours@hotmail.com",,"K","43209983",,"1","2012-10-10 11:15:10","2013-05-10 11:52:27","1","0.00"
"86","SAFARI TRAVEL",,,"ADONIS - ST GEORGE CENTER","9619215777","9619215777","safarit13@gmail.com",,"MIRNA EL KHOURY ","43280252",,"1","2012-10-10 11:17:24","2013-03-19 14:10:48","1","0.00"
"87","ALPHA CLUB ",,,"KORNICH EL NAHER","01-595075   / 01-595077 11077 (joe )","01-595075   / 01-595077 11077 (joe )","alphaclub@inco.com.lb",,"GEORGES","4320112",,"1","2012-10-10 11:27:25","2020-01-09 17:33:55","1","0.00"
"88","AMIN KAWAR",,,"HAMRA-LYON STR","9611350525","9611350525","amkawar@travelkawar.com",,"AMIN KAWAR","4322925",,"1","2012-10-10 11:30:05","2012-10-10 11:30:05","1","0.00"
"89","BIZRI TRAVEL",,,"RIAD EL SOLOH-AUDI BANK BLDG","9617720119","9617720119","kbizri@yahoo.com",,"BIZRI","4320002",,"1","2012-10-10 11:34:53","2012-10-10 11:34:53","1","0.00"
"90","BLUE HORIZON-585779-601-BOURJ HAMOUD.",,,"CENTER LE BARON MUNICIPALITY STR AMARET CHALHOU","9611266909","9611266909","maria@flybluehorizon.com",,"TALAR",,,"1","2012-10-10 11:39:20","2017-11-06 10:37:01","1","0.00"
"91","BOUEZ TRAVEL",,,,"9619913652","9619913652","boueztvl@cyberia.net.lb",,"YOUSSEF","4321053",,"1","2012-10-10 11:48:48","2012-10-10 11:48:48","1","0.00"
"92","BRAZIL TRAVEL-13203-601-CHTAURA.",,,"SHTOURA MAIN ROAD","9618544028","9618544028","BRAZILTOUR@HOTMAIL.COM",,"ANNI","43204770",,"1","2012-10-10 12:01:04","2013-08-23 14:32:17","1","0.00"
"93","BSO TRAVEL-11302-601-DEKWENEH",,,"SIN EL FIL freeway tabi2 8","9611488040////04982040","9611488040////04982040","ticketing@bso.com.lb",,"GISELLE","4320118",,"1","2012-10-10 12:04:38","2017-08-08 10:06:22","1","0.00"
"94","CAMPUS TRAVEL",,,"MAKTABI BLDG -  MAK' HOUL STR before fouad khoury hospital","9611744588","9611744588","campus@campus-travel.net",,"CARMEN","4321023",,"1","2012-10-10 12:08:41","2017-06-10 15:22:10","1","0.00"
"95","CLUB TRAVEL SERVICES/75071-601/Dbayeh",,,"RACHED BLDG","9614544789","9614544789","clubtravelservices.visa@gmail.com",,"PAULA","4329894",,"1","2012-10-10 12:11:52","2013-10-21 14:01:49","1","0.00"
"96","CONSEILS VOYAGE-184996-601-HAZMIEH.",,,"HAZMIEH","9615459462","9615459462","conseilsvoyage@hotmail.com",,"ZEINA",,,"1","2012-10-10 12:14:52","2013-08-23 12:21:28","1","0.00"
"97","CROISIERES ET VOYAGES-84352-601-PORT.",,,"MAR MIKHAEL","9611959200","9611959200","cmavoyage@cmavoyage.com",,"CARMEN",,,"1","2012-10-10 12:17:12","2014-09-10 13:25:00","1","0.00"
"98","CROSSWAYS ZAHLE-2071947-601",,,"ZAHLE BOULEVARD","9618811176","9618811176","carole@crosswaysagency.com",,"RACHA","4320027",,"1","2012-10-10 12:19:54","2014-03-19 10:28:01","1","0.00"
"99","CTS TRAVEL ",,,"YOUSSEF CENTER, 7TH FLOOR, BADARO","9611383540","9611383540","layal.ajineh@cts.com.lb",,"INAS",,,"1","2012-10-10 12:23:39","2015-03-16 12:15:28","1","0.00"
"100","D&S-63582-601-JAL EL DIB",,,"JAL EL DIB-GREEN TOWERS BLOCK C - BEIRUT","9614710305","9614710305","gabrielladaou@hotmail.com",,"GABRIELLA","4321008",,"1","2012-10-10 12:32:10","2013-08-23 09:24:45","1","0.00"
"101","DIALA TRAVEL 2",,,"HAMRA,WARDIEH","9611361561","9611361561","DIALATVL@TERRA.NET.LB",,"DIALA",,,"1","2012-10-10 12:52:26","2012-10-10 12:52:26","1","0.00"
"102","DOUBLE EIGHT PRODUCTION-1616884-601-ZALKA ",,,"BEIRUT","9611870870","9611870870","aline.chahabeddine@double8.me",,"RIYAD",,,"1","2012-10-10 12:54:37","2013-11-18 11:53:34","1","0.00"
"103","EXPRESS TRAVEL/KHALED SOUBRA",,,"SAIDA FAKHEDDINE STR","9617732750","9617732750","khaled_soubra@yahoo.com",,"N",,,"1","2012-10-10 13:01:19","2014-09-16 10:32:28","1","0.00"
"104","FAISAL TRAVEL-2314576-BEIRUT.",,,"KHALDEH","9615800029","9615800029","alfaisal_group@hotmail.com",,"MIRNA",,,"1","2012-10-10 13:05:25","2013-08-26 13:17:56","1","0.00"
"105","FAST TRAVEL-2446-ACHRAFIEH",,,"ASHRAFIEH","9611336173","9611336173","fasttravel@terra.net.lb",,"REMONDA",,,"1","2012-10-10 13:11:25","2017-01-09 15:11:07","1","0.00"
"106","FAWAL",,,"TRIPOLI-MITIEN STR","9616626532","9616626532","pascal.fawaltravel@outlook.com",,"BILAL","4321011",,"1","2012-10-10 13:14:10","2018-10-29 13:18:20","1","0.00"
"107","FORWARD-252845-HAMRA",,,"HAMRA - facing wardieh station ground floor","9611361866","9611361866","INFO@FORWARDTRAVEL.ME",,"M",,,"1","2012-10-10 13:16:42","2017-11-20 12:24:11","1","0.00"
"108","GITANI TRAVEL-12801-ZGHARTA",,,"ZGHARTA AKABE DESC","9616662780","9616662780","CARLOS@GITANITRAVEL.NET",,"MADYAN","4325275",,"1","2012-10-10 13:27:11","2013-10-05 11:47:26","1","0.00"
"109","GLOBINI TRAVEL-88750-601-BEIRUT.",,,"BEIRUT","9611861040","9611861040","NAHED@GLOBINI.COM",,"ALI HASBINI","43254002",,"1","2012-10-10 13:29:18","2013-08-23 11:34:32","1","0.00"
"110","HELOU TRAVEL",,,"FREE-WAY EL MIMIEH-NORTH LEBANON","9616462880","9616462880","HELOU_TRAVEL@HOTMAIL.COM",,"OMAR",,,"1","2012-10-10 13:32:44","2012-10-10 13:32:44","1","0.00"
"111","I FLY-1992881-JOUNIEH",,,"RIAD EL SOLOH ","9619220730","9619220730","lenasalahy@hotmail.com",,"LENA",,,"1","2012-10-10 13:49:49","2017-11-27 12:04:48","1","0.00"
"112","INTERTRAVEL SAL ",,,"jal el dib","9619636384/04723823(24) samer - Accoumntinf Ext 20","9619636384/04723823(24) samer - Accoumntinf Ext 20","elie@intertravel-lb.com",,"samer","4320989",,"1","2012-10-10 13:52:40","2020-01-21 13:56:20","1","0.00"
"113","INTERSPACE TOURS-2442160-JDEIDEH",,,"JDEIDEH,NAHAR ELMOT","9611891553","9611891553","INTERSPACETOURS@LIVE.COM",,"REINE","4320091",,"1","2012-10-10 13:58:27","2013-08-23 09:27:40","1","0.00"
"114","ITA TRAVEL",,,"HAMRA STR","9611340110","9611340110","ita1@terra.net.lb",,"MOHAMAD",,,"1","2012-10-10 14:00:11","2014-06-10 10:16:11","1","0.00"
"115","JET TRAVEL-97026- hamra - sidani str facing itani famous food",,,"RAS BEIRUT SIDANI STREET","9611340380","9611340380","JETTRAVEL01@HOTMAIL.COM",,"NAY","4327444",,"1","2012-10-10 14:16:52","2017-06-10 15:28:06","1","0.00"
"116","KANJ TRAVEL-182792-GHABAYRE.",,,"GHOBAYRE-BLOM BANK BLDG near hajez el jesh","9611840198","9611840198","kanjtrvl@hotmail.com",,"KANJ",,,"1","2012-10-10 14:32:47","2017-03-08 15:56:21","1","0.00"
"117","KHATER TRAVEL-89930-CORNICH EL MAZRAA.",,,"CORNICH EL MAZRAA","9611310196","9611310196","tourism@khater4travel.com",,"K","4321017",,"1","2012-10-10 14:35:33","2017-06-12 14:12:31","1","0.00"
"118","KURBAN TRANSPORT",,,"HERCH TABET","9614391301","9614391301","licar@licarkurban.com",,"NOURA",,,"1","2012-10-10 14:37:09","2016-04-23 13:09:42","1","0.00"
"119","KURBAN TRAVEL",,,"CITY MALL 14 DORA HIGHWAY","9611875000","9611875000","midoffice.corporate@kurbantravel.com",,"MAYA","4320104",,"0","2012-10-10 14:39:19","2012-10-10 14:39:19","1","0.00"
"120","LA GARE ROUTIERE-140433-JOUNIEH.",,,"JOUNIEH-NEXT GALERIE CHAWKI SALAME","9619937668","9619937668","LAGAREROUTIERE@HOTMAIL.COM",,"TANA","4320710",,"1","2012-10-10 14:42:12","2013-08-23 11:00:41","1","0.00"
"121","LE VOYAGEUR-2210848-SIN EL FIL.",,,"SIN EL FIL-MAR ELIAS STR SAMIR HASWANI BLDG","9611493379","9611493379","p.hajjar@le-voyageur.net",,"JENNY","4324798",,"1","2012-10-10 14:44:27","2014-05-14 12:18:01","1","0.00"
"122","LETTCO TRAVEL-1351165-HARIT HREIK.",,,"HARIT HRAYK","01-834307/8","01-834307/8","aya@LETTCOTRAVEL.COM",,"HABIB",,,"1","2012-10-10 14:46:29","2017-09-19 09:19:40","1","0.00"
"123","MERIDIEN TRAVEL facing gefinor center  ",,,"FACING GEFINOR","9611745490","9611745490","KHALILHOTEIT@HOTMAIL.COM",,"KHALIL","4320007",,"1","2012-10-10 14:49:12","2017-06-10 15:23:39","1","0.00"
"124","MIDDLE SIDE-274123-BOUCHRIEH.",,,"SIN EL FIL","9611246424","9611246424","RITA_YOUNES@MIDDLESIDE.COM",,"RITA",,,"0","2012-10-10 14:53:42","2017-11-16 12:00:34","1","0.00"
